"codelist","concept_id"
"frailty_fracture",45770876
"frailty_fracture",45757327
"frailty_fracture",45757328
"frailty_fracture",45757330
"frailty_fracture",45766722
"frailty_fracture",45771398
"frailty_fracture",45766774
"frailty_fracture",45772690
"frailty_fracture",45766817
"frailty_fracture",45766906
"frailty_fracture",45766942
"frailty_fracture",45772710
"frailty_fracture",45767005
"frailty_fracture",45767041
"frailty_fracture",45767095
"frailty_fracture",45767135
"frailty_fracture",45767161
"frailty_fracture",45771437
"frailty_fracture",45767634
"frailty_fracture",45767635
"frailty_fracture",45767649
"frailty_fracture",45767650
"frailty_fracture",45767651
"frailty_fracture",45767652
"frailty_fracture",45767653
"frailty_fracture",45767654
"frailty_fracture",45767661
"frailty_fracture",45767662
"frailty_fracture",45767663
"frailty_fracture",45767664
"frailty_fracture",37310233
"frailty_fracture",37310212
"frailty_fracture",37310093
"frailty_fracture",37310092
"frailty_fracture",37310091
"frailty_fracture",37310089
"frailty_fracture",37310088
"frailty_fracture",37309719
"frailty_fracture",37309718
"frailty_fracture",37311962
"frailty_fracture",37311960
"frailty_fracture",37311955
"frailty_fracture",3656845
"frailty_fracture",42539257
"frailty_fracture",42539096
"frailty_fracture",42537719
"frailty_fracture",440546
"frailty_fracture",4151707
"frailty_fracture",4158479
"frailty_fracture",4167098
"frailty_fracture",4173672
"frailty_fracture",4167914
"frailty_fracture",4170313
"frailty_fracture",4173673
"frailty_fracture",4169989
"frailty_fracture",4105123
"frailty_fracture",4083374
"frailty_fracture",4085543
"frailty_fracture",4105124
"frailty_fracture",4085544
"frailty_fracture",4085545
"frailty_fracture",4083375
"frailty_fracture",4105126
"frailty_fracture",4085898
"frailty_fracture",4083822
"frailty_fracture",4086020
"frailty_fracture",4083823
"frailty_fracture",4106183
"frailty_fracture",4083824
"frailty_fracture",4106184
"frailty_fracture",4086021
"frailty_fracture",4106186
"frailty_fracture",4107370
"frailty_fracture",606228
"frailty_fracture",606229
"frailty_fracture",37116533
"frailty_fracture",37116630
"frailty_fracture",37116631
"frailty_fracture",37116632
"frailty_fracture",36717169
"frailty_fracture",36715746
"frailty_fracture",36715747
"frailty_fracture",36715748
"frailty_fracture",36715749
"frailty_fracture",36716596
"frailty_fracture",36716597
"frailty_fracture",4133610
"frailty_fracture",4133012
"frailty_fracture",444192
"frailty_fracture",4032935
"frailty_fracture",435956
"frailty_fracture",437116
"frailty_fracture",81141
"frailty_fracture",437703
"frailty_fracture",4063560
"frailty_fracture",4117238
